Rank,Villager,Personality
1,Raymond,Smug (Kiza)
2,Marshal,Smug (Kiza)
3,Marina,Normal (Futsuu)
4,Zucker,Lazy (Bonyari)
5,Sherb,Lazy (Bonyari)
6,Judy,Snooty (Otona)
7,Fauna,Normal (Futsuu)
8,Bob,Lazy (Bonyari)
9,Audie,Peppy (Genki)
10,Beau,Lazy (Bonyari)
11,Coco,Normal (Futsuu)
12,Stitches,Lazy (Bonyari)
13,Lucky,Lazy (Bonyari)
14,Molly,Normal (Futsuu)
15,Dom,Jock (Hakihaki)
16,Lolly,Normal (Futsuu)
17,Scoot,Jock (Hakihaki)
18,Merengue,Normal (Futsuu)
19,Cherry,Sisterly (Aneki)
20,Goldie,Normal (Futsuu)
21,Roald,Jock (Hakihaki)
22,Diana,Snooty (Otona)
23,Ankha,Snooty (Otona)
24,Rosie,Peppy (Genki)
25,Julian,Smug (Kiza)
26,Ketchup,Peppy (Genki)
27,Erik,Lazy (Bonyari)
28,Tangy,Peppy (Genki)
29,Apple,Peppy (Genki)
30,Maple,Normal (Futsuu)
31,Pietro,Smug (Kiza)
32,Punchy,Lazy (Bonyari)
33,Apollo,Cranky (Kowai)
34,Tia,Normal (Futsuu)
35,Flora,Peppy (Genki)
36,Cookie,Peppy (Genki)
37,Weber,Lazy (Bonyari)
38,Fang,Cranky (Kowai)
39,Whitney,Snooty (Otona)
40,Lily,Normal (Futsuu)
41,Flurry,Normal (Futsuu)
42,Skye,Normal (Futsuu)
43,Poppy,Normal (Futsuu)
44,Filbert,Lazy (Bonyari)
45,Pashmina,Sisterly (Aneki)
46,Isabelle,
47,Bangle,Peppy (Genki)
48,Octavian,Cranky (Kowai)
49,Clay,Lazy (Bonyari)
50,Melba,Normal (Futsuu)
51,Bam,Jock (Hakihaki)
52,Katt,Sisterly (Aneki)
53,Kiki,Normal (Futsuu)
54,Hornsby,Lazy (Bonyari)
55,Muffy,Sisterly (Aneki)
56,Bluebear,Peppy (Genki)
57,Chevre,Normal (Futsuu)
58,Zell,Smug (Kiza)
59,Merry,Peppy (Genki)
60,Wolfgang,Cranky (Kowai)
61,Kabuki,Cranky (Kowai)
62,Aurora,Normal (Futsuu)
63,Pekoe,Normal (Futsuu)
64,Bianca,Peppy (Genki)
65,Kyle,Smug (Kiza)
66,Agnes,Sisterly (Aneki)
67,Hazel,Sisterly (Aneki)
68,Genji,Jock (Hakihaki)
69,Bunnie,Peppy (Genki)
70,Lobo,Cranky (Kowai)
71,Gayle,Normal (Futsuu)
72,Peanut,Peppy (Genki)
73,Lyman,Jock (Hakihaki)
74,Ruby,Peppy (Genki)
75,Teddy,Jock (Hakihaki)
76,Daisy,Normal (Futsuu)
77,Ozzie,Lazy (Bonyari)
78,Cube,Lazy (Bonyari)
79,Kidd,Smug (Kiza)
80,Phoebe,Sisterly (Aneki)
81,Hamlet,Jock (Hakihaki)
82,Vesta,Normal (Futsuu)
83,Shari,Sisterly (Aneki)
84,Antonio,Jock (Hakihaki)
85,Freya,Snooty (Otona)
86,June,Normal (Futsuu)
87,Mitzi,Normal (Futsuu)
88,Chrissy,Peppy (Genki)
89,Shep,Smug (Kiza)
90,Eugene,Smug (Kiza)
91,Drago,Lazy (Bonyari)
92,Kid Cat,Jock (Hakihaki)
93,Puddles,Peppy (Genki)
94,Wendy,Peppy (Genki)
95,Bones,Lazy (Bonyari)
96,Biskit,Lazy (Bonyari)
97,Midge,Normal (Futsuu)
98,Wade,Lazy (Bonyari)
99,Henry,Smug (Kiza)
100,Dobie,Cranky (Kowai)
101,Roscoe,Cranky (Kowai)
102,Flo,Sisterly (Aneki)
103,Ellie,Normal (Futsuu)
104,Reneigh,Sisterly (Aneki)
105,Dizzy,Lazy (Bonyari)
106,Tutu,Peppy (Genki)
107,Dotty,Peppy (Genki)
108,Mira,Sisterly (Aneki)
109,Sprocket,Jock (Hakihaki)
110,Cranston,Lazy (Bonyari)
111,Static,Cranky (Kowai)
112,Rex,Lazy (Bonyari)
113,Bill,Jock (Hakihaki)
114,Cheri,Peppy (Genki)
115,Ribbot,Jock (Hakihaki)
116,Snake,Jock (Hakihaki)
117,Chief,Cranky (Kowai)
118,Nan,Normal (Futsuu)
119,Julia,Snooty (Otona)
120,Celia,Normal (Futsuu)
121,Sterling,Jock (Hakihaki)
122,Biff,Jock (Hakihaki)
123,Lopez,Smug (Kiza)
124,Canberra,Sisterly (Aneki)
125,Sydney,Normal (Futsuu)
126,Gala,Normal (Futsuu)
127,Olivia,Snooty (Otona)
128,Pinky,Peppy (Genki)
129,Joey,Lazy (Bonyari)
130,Rolf,Cranky (Kowai)
131,Stella,Normal (Futsuu)
132,Tammy,Sisterly (Aneki)
133,Poncho,Jock (Hakihaki)
134,Walker,Lazy (Bonyari)
135,Papi,Lazy (Bonyari)
136,Graham,Smug (Kiza)
137,Tank,Jock (Hakihaki)
138,Fuchsia,Sisterly (Aneki)
139,Jeremiah,Lazy (Bonyari)
140,Gladys,Normal (Futsuu)
141,Alice,Normal (Futsuu)
142,Norma,Normal (Futsuu)
143,Phil,Smug (Kiza)
144,Nana,Normal (Futsuu)
145,Freckles,Peppy (Genki)
146,Goose,Jock (Hakihaki)
147,Raddle,Lazy (Bonyari)
148,Quillson,Smug (Kiza)
